"geneid"	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"441"	2134	5111	790	9171	585	498	500
"442"	7780	18	2	16	4	1	2
"443"	84676	0	3	17	0	0	0
"444"	149420	1430	156	674	14557	7857	11382
"445"	79927	76	50	51	71	86	135
"446"	100128346	17	8	42	78	119	115
"447"	51042	88	34	76	170	192	148
"448"	10256	230	54	242	683	737	935
"449"	378807	3	0	0	6	10	10
"450"	64793	1148	143	976	2460	2174	2073
"451"	83442	4200	1475	3058	4895	3558	4820
"452"	91544	932	349	1299	748	672	1160
"453"	1043	39	25	6	2	2	4
"454"	55057	1	0	2	34	18	77
"455"	257101	1	5	2	2	0	0
"456"	79727	2	0	0	0	3	6
"457"	79947	2233	446	2443	3380	2448	3150
"458"	3151	2159	1144	1234	7263	11413	11483
"459"	6195	473	70	327	268	269	221
"460"	100302190	0	0	0	0	0	0
"461"	8289	4432	1067	7571	28452	24839	22453
"462"	55650	665	261	565	460	524	571
"463"	84243	1131	289	1308	2811	2881	2609
"464"	2810	2	4	2	8	12	19
"465"	54707	784	124	1018	1368	1653	1457
"466"	63906	812	176	981	1220	1225	1264
"467"	8431	0	0	2	2	0	0
"468"	10726	4218	1143	5352	3573	3484	3613
"469"	126695	16	0	34	8	13	4
"470"	646567	54	17	25	130	95	89
"471"	388610	1880	347	2559	2687	1628	1326
"472"	115572	39	29	45	6	10	2
"473"	6548	3563	691	5707	1530	1349	1202
"474"	23038	6550	1204	8607	7065	5734	5976
"475"	84065	2444	1092	2523	2619	2221	2639
"476"	644961	2573	451	3102	8980	8297	7697
"477"	84958	41	29	78	8	7	24
"478"	9064	535	258	784	356	270	215
"479"	8547	10	0	7	4	13	7
"480"	388611	10	0	16	2	0	2
"481"	2827	304	108	755	119	69	90
"482"	10163	2217	984	1573	3191	3878	3360
"483"	27245	3888	823	8976	12810	14871	9607
"484"	2268	245	178	267	125	75	112
"485"	2537	1881	1690	1761	863	436	667
"486"	199870	1082	251	528	1520	1284	1390
"487"	23673	7205	1796	3715	15633	7404	10236
"488"	5511	2346	617	1553	6162	4104	5395
