Geneid	alignments
22796	967
183	278
10753	11
84886	7807
79573	2918
64801	1049
375061	182
100302132	0
440730	53721
149373	22
128061	859
8443	5522
149371	5884
83932	1027
54583	12836
645339	0
100303453	1
7257	3069
100287814	0
27185	6
27184	2
57568	4274
54627	1429
84284	1160
80003	4728
84451	1126
3775	396
148641	232
100506778	263
388753	877
6894	5931
100506795	12
359948	19949
100302691	4
100506810	9
100130249	0
9804	48702
677802	10
23029	2346
51742	9315
9453	4170
6905	1297
148789	1943
2786	35004
1130	8677
100302139	0
4811	5960
7107	1794
56605	3902
128178	11788
3964	5992
100287902	16
55127	10750
88	23324
100506876	62
4548	9594
6262	5836
100130331	5287
57829	0
339535	85
100505872	436
1131	2048
100506915	4
56776	8369
64388	5774
100506929	7
6000	2931
100422856	0
2271	3192
8564	32
23596	420
1122	16101
128025	0
9156	77
440738	41
200150	111
731275	324
9859	85454
10806	4113
10000	31096
100506975	29
339529	46
10472	151856
440742	70
200159	9
159	5733
257044	53
51029	4186
116228	1409
284702	4421
3192	64068
84288	602
55083	5330
64754	817
100507030	6
64216	679
163882	4610
51097	3332
100130097	203
149134	100
25909	5072
100507048	70
57116	489
93474	1724
79862	2098
388759	182
7678	1616
317705	8
84838	3012
114548	47
127623	0
441932	0
148824	8
81472	0
148823	39
100507070	26
81470	2
81469	0
441933	1
343169	0
26188	0
284532	0
391189	0
25893	2510
343171	489
343172	35
284521	663
391190	5
391191	9
26247	6
26246	15
391192	20
388762	2
127059	1
391194	0
127062	7
26245	10
391195	21
127064	11
391196	0
127066	0
127074	1
254879	2
26696	0
401992	0
343173	0
401993	0
391211	0
343563	0
127068	0
127069	0
127077	0
403244	0
403239	0
